feature_1,class
-31.010075,glioma
-30.418825,glioma
-38.064438,glioma
-27.746895,glioma
-24.804472,glioma
-24.786299,glioma
-23.415224,glioma
-28.42642,glioma
-44.762756,glioma
-35.172432,glioma
-16.20306,glioma
-37.13512,glioma
-35.370457,glioma
-31.02351,glioma
-36.051346,glioma
-34.57397,glioma
-26.593527,glioma
-27.883482,glioma
-19.7392,glioma
-28.502401,glioma
-26.907352,glioma
3.4910746,glioma
-12.304523,glioma
0.76859134,glioma
-11.364169,glioma
-12.247298,glioma
-20.24176,glioma
-31.943228,glioma
-23.125925,glioma
-34.146645,glioma
-62.53267,glioma
-60.34345,glioma
-56.253014,glioma
-58.55853,glioma
-52.792866,glioma
-51.581062,glioma
-47.927345,glioma
-41.27931,glioma
-33.13546,glioma
-40.83844,glioma
-27.921997,glioma
-24.779562,glioma
-19.35125,glioma
-23.09367,glioma
-32.81663,glioma
-37.660427,glioma
-41.648853,glioma
-23.43333,glioma
-22.899467,glioma
-19.248518,glioma
-28.739084,glioma
-28.609138,glioma
-27.472088,glioma
-30.007843,glioma
-31.156733,glioma
-53.23182,glioma
-41.206997,glioma
-40.955715,glioma
-38.382698,glioma
-35.205265,glioma
-35.4474,glioma
-27.270065,glioma
-25.93978,glioma
-31.645588,glioma
-13.131477,glioma
-21.969358,glioma
-19.088472,glioma
-21.989132,glioma
-33.864326,glioma
-33.227463,glioma
-34.209938,glioma
-22.086264,glioma
-14.399414,glioma
-10.100629,glioma
-31.473816,glioma
-36.099426,glioma
-39.556564,glioma
-25.900938,glioma
-25.643171,glioma
-23.730305,glioma
-45.939865,glioma
-41.54958,glioma
-28.315458,glioma
-33.17047,glioma
-37.588787,glioma
-28.677685,glioma
-19.12308,glioma
-21.405573,glioma
-23.073973,glioma
-38.921944,glioma
-48.46281,glioma
-46.180634,glioma
-39.017006,glioma
-36.386322,glioma
-39.62026,glioma
-28.358728,glioma
-25.92386,glioma
-16.203108,glioma
-12.307357,glioma
-37.568783,glioma
-8.7444935,glioma
-37.187927,glioma
-30.870247,glioma
-39.370464,glioma
-39.84551,glioma
-32.02236,glioma
-30.372427,glioma
-28.304943,glioma
-25.725882,glioma
-26.27592,glioma
-23.084017,glioma
-18.033524,glioma
-17.199188,glioma
-41.586193,glioma
-39.485332,glioma
-36.894047,glioma
-40.26884,glioma
-32.318424,glioma
-34.246883,glioma
-26.346342,glioma
-31.767925,glioma
